카테고리,순위,품번,브랜드명,상품명(한글),판매가,비회원가,좋아요 수,URL
여성 가방,1,P0000DYT,L.E.E.Y,RIVET SPRAY CYLINDER MINI BAG WHITE,178000,160200,31,https://www.musinsa.com/app/goods/3567593?loc=goods_rank
여성 가방,2,8809838642480,MARGESHERWOOD,SOFT BOSTON (4color),"
                                                                                                                                                398000",398000,742,https://www.musinsa.com/app/goods/2741089?loc=goods_rank
여성 가방,3,RCBTX23626BKX,COURONNE,아르네(Arne) 토트 34_RCBTX23626BKX,428000,385200,4,https://www.musinsa.com/app/goods/3450202?loc=goods_rank
여성 가방,4,21N-010A,STAND OIL,Oblong bag · 오블롱백,"
                                                                                                                                                119000",119000,37863,https://www.musinsa.com/app/goods/2344538?loc=goods_rank
여성 가방,5,23M-063A,STAND OIL,Plump bag ·  플럼백,89000,84550,7112,https://www.musinsa.com/app/goods/3061872?loc=goods_rank
여성 가방,6,Salt Bag,DUMARO,솔트백,98000,98000,1447,https://www.musinsa.com/app/goods/3446244?loc=goods_rank
여성 가방,7,440 John backpack,FFROI,440 존 백팩,"
                                                                                                                                                320000",320000,3506,https://www.musinsa.com/app/goods/2752340?loc=goods_rank
여성 가방,8,MK229NBG034M0LG,MATIN KIM,MINI BUCKLE BAG IN LIGHT GREY,"
                                                                                                                                                95000",95000,8984,https://www.musinsa.com/app/goods/2954959?loc=goods_rank
여성 가방,9,5001963512,MARDI MERCREDI,GRAND VELO_BLACK [ALL LEATHER],158000,142200,3606,https://www.musinsa.com/app/goods/2998775?loc=goods_rank
여성 가방,10,m1037_1015651,ANOETIC,ANC CLASSIC BACKPACK_BLACK,179000,134250,12804,https://www.musinsa.com/app/goods/3101111?loc=goods_rank
여성 가방,11,20N-006B,STAND OIL,Butter bag  Classic · 버터백 클래식,"
                                                                                                                                                89000",89000,37450,https://www.musinsa.com/app/goods/2343665?loc=goods_rank
여성 가방,12,CR23S501BK,SCULPTOR,Vintage Canvas Duffel Bag Black,72000,50400,27406,https://www.musinsa.com/app/goods/3034749?loc=goods_rank
여성 가방,13,asura23SS44,ASURA,토끼 짐 색 (SILVER),89000,57850,8098,https://www.musinsa.com/app/goods/3167160?loc=goods_rank
여성 가방,14,Cashew Nut Bag,DUMARO,캐슈넛백,82500,82500,362,https://www.musinsa.com/app/goods/3337412?loc=goods_rank
여성 가방,15,Half Moon Leather Bag,SOFT SEOUL,하프문 레더백 [크림],"
                                                                                                                                                198000",198000,6805,https://www.musinsa.com/app/goods/1703325?loc=goods_rank
여성 가방,16,22N-057A,STAND OIL,Post bag · 포스트백,91000,86450,12706,https://www.musinsa.com/app/goods/2930265?loc=goods_rank
여성 가방,17,5000982833,D.LAB,비건가죽 미뇽 숄더백 - 3color(카드지갑증정),58000,36800,9030,https://www.musinsa.com/app/goods/2980368?loc=goods_rank
여성 가방,18,NOI990,NOIAGO,NOI990 드로우 스트링 백 (라이트그레이),62000,49600,4162,https://www.musinsa.com/app/goods/3376259?loc=goods_rank
